PO Number,Product,Input Material,Input Quantity (lbs),Output Quantity (lbs)
3-6346,Ribeye,Ribeye,3336.8,2445.18
3-6346,Brisket Flat ,Brisket ,5904.6,3235.66
3-6346,Stew Beef ,2PC,1528.93,1303.47
3-6346,Chuck Roast ,2PC ,1528.93,1747.92
3-6346,Ground Beef ,2PC ,4217.38,3426
3-6346,Outside Skirt ,Outside Skirt ,2072.5,1813.98
3-6346,Bnls Short Ribs,Plate Short Ribs ,2111.2,632.78
3-8382,Ribeye,Ribeye,2506.600,1883.17
3-8382,Brisket,Brisket,2074.055,1561.79
3-8382,Stew,Brisket Point ,1016.392,672.38
3-8382,Roast ,2PC Chuck,2716.957,2510.6
3-8382,Ground Beef,2PC Chuck + Brisket,0.000,0
3-8382,Outside Skirt ,Outside Skirt ,5187.900,5060.79
3-8382,Bnls Short Ribs ,2PC Chuck,1223.407,1094.92
3-8415,Ribeye,Ribeye,6215.8,4726.63
3-8415,Brisket,Brisket,0.0,1748.89
3-8415,Stew,Brisket,0.0,808.29
3-8415,Roast ,2PC Chuck,0.0,279.72
3-8415,Ground Beef,2PC Chuck + Brisket,6856.0,6775
3-8415,Outside Skirt ,Outside Skirt ,5413.0,4747.29
3-8415,Bnls Short Ribs ,2PC Chuck,0.0,114.72
